pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
2X3,hexagon,720,10,True,104,1501,491,491,0,1.6737940502938535,13.850990901449075,23.833015562630212,13.608853468711443,2.1449042836711105,13.608815672456137,0.0012198852553044759,1,1,0.05922673569679976,0.04802818812333079,0.14283736479945877,2.411704158923903,True,True,8.30077346169473e-15,7.577272143066693e-15,3.3893637946200144e-15,True,0.0781355750194554,0.5113369478280886,True,A-D|B-F|C-B|D-C|E-A|F-E
horizzontal-parallelepiped,horizzontal-parallelepiped,720,10,True,212,1980,356,356,0,1.554430649626134,13.827631793851106,23.478074135602167,13.522510559445587,2.3597975204349657,13.52248974322756,0.0013023420927087415,1,1,0.05888264705170061,0.04793350141189131,0.14134713587079578,2.400488818831277,True,True,9.161190137996766e-15,3.985994439185401e-15,8.248590975149166e-15,True,0.23457637813391888,0.42827695480702754,True,A-C|B-D|C-F|D-E|E-B|F-A
2X3,pentagon,360,10,True,0,1565,257,257,0,1.9992623179260196,13.82664634683995,23.860833384604074,13.549919229033009,2.16301901834691,13.549918936558157,0.0010916519350505638,1,1,0.058860682426734624,0.06413601761229497,0.14129340632976717,2.400471766626876,True,True,7.160723346098895e-15,5.329070518200751e-15,4.782987168225453e-15,True,0.0888732057210834,0.3581303928054846,True,A-A|B-C|C-E|D-E|E-D|F-B
two-triangles,pyramid,720,10,True,2,2866,527,527,0,1.7528615041031614,12.878212960249032,25.737584845559258,12.72196898632761,1.6182993256019313,12.721956155016738,0.000843968553827068,3,1,0.058294499912758736,0.028386866494134848,0.1405831623592362,2.411602510865132,True,True,8.055048693485857e-15,5.617333549722722e-15,5.773159728050814e-15,True,0.05214554331814628,0.3914966099903299,True,A-F|B-B|C-C|D-E|E-A|F-D
2X3,vertical-parallelepiped,720,10,True,112,2010,474,474,0,1.5546786479160646,13.646767642003667,24.049724036384234,13.332178961721713,2.3909656251219653,13.332152993038434,0.001086745290475477,1,1,0.05820881828779371,0.05797058629143102,0.13944826864223867,2.3956553791005364,True,True,9.940681783991267e-15,7.377764055609925e-15,6.662263269364698e-15,True,0.20327483498624505,0.4179157688864527,True,A-F|B-D|C-E|D-A|E-C|F-B
rectangle-opposite,arrow,78,10,True,8,455,35,35,0,1.9785290325560172,13.594585262980374,23.538278774868612,13.367203548290037,1.7673097606339285,13.367124340961652,0.0011721793015713189,1,1,0.05806401812438698,0.05629342952489786,0.1393132051717743,2.399303556177118,True,True,7.063671301471282e-15,2.5121479338940403e-15,6.6018607235733855e-15,True,0.05199775411844587,0.32651322683833955,True,A-B|A-C|B-D|C-E|D-A|D-C
parallelepiped-int,pentagon,78,10,True,0,345,45,45,0,2.0071021796199977,14.017691621013993,23.461419952984755,13.786046098657973,2.0984622067976533,13.78602918388425,0.0010698828544963845,1,1,0.05759966253176372,0.024438194951635284,0.13847224212179698,2.404046066162897,True,True,7.431033801933e-15,5.687116766346677e-15,4.782987168225453e-15,True,0.08362358299111744,0.4331407140208836,True,A-E|B-A|B-C|C-B|C-D|D-E
rhombus-ext,rectangle-opposite,34,10,True,10,38,20,20,0,2.5626431382078123,13.79706555853126,22.520499248070056,13.716060973019287,2.3082923168803924,13.716060893857861,0.0014735376635721664,1,1,0.05753656199876006,0.04022540523834262,0.13875542231698165,2.4218180645655027,True,True,2.2584239615979113e-14,2.2473722312241752e-14,2.2315206618374916e-15,True,0.29146942113982505,0.4179157688864527,True,A-A|A-D|B-A|C-B|D-C|D-D
vertical-parallelepiped,rectangle-same,180,10,True,32,471,108,108,0,2.0656590376071193,14.481963299289488,21.33810378733636,14.16412444387354,2.6603941441260224,14.164095991494676,0.001432082526619638,2,1,0.057370550375192626,0.06112974648221532,0.13590061509819076,2.382984391506482,True,True,5.9357776173108395e-15,4.0821121246710766e-15,4.309270996790725e-15,True,0.1645067030490522,0.32651322683833955,True,A-D|B-A|C-A|D-B|E-C|F-C
vertical-parallelepiped,vertical-parallelepiped,720,10,True,212,1991,348,348,0,1.5406492299321681,13.830833480385575,23.541272388027377,13.500211408969415,2.3738747917952985,13.50021140892542,0.0013941404560320336,1,1,0.05735078436145385,0.0474491189338337,0.13758373780432506,2.3989861574900577,True,True,1.1972133964144586e-14,8.673897706667745e-15,8.251999165637887e-15,True,0.16766331629055414,0.42339245367800304,True,A-F|B-E|C-A|D-B|E-D|F-C
