pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
vertical-parallelepiped,horizzontal-parallelepiped,720,10,True,172,2008,416,416,0,1.6797424479107501,13.77068683029211,23.897690778878953,13.456646560400102,2.1656286803173606,13.456552978297644,0.011294543336267004,2,1,0.06599808596282812,0.04950044546399482,0.15888743275256167,2.407455162291393,True,True,3.3144769091200493e-15,2.782732212136107e-15,1.8005995158918828e-15,True,0.11544057568647487,0.42339245367800304,True,A-C|B-E|C-D|D-F|E-A|F-B
horizzontal-parallelepiped,rectangle-opposite,180,10,True,28,576,107,107,0,1.5826001143993598,13.599680483087095,23.16042514917926,13.217187162816128,2.7240995792718232,13.217178502033235,0.012485970112789069,2,1,0.06596376331523085,0.05684037225192467,0.15843630358793362,2.4018687780257544,True,True,7.224611588786443e-15,4.669540497562317e-15,5.512749237037073e-15,True,0.052395158975629325,0.4182034220705242,True,A-D|B-B|C-A|D-C|E-A|F-D
rectangle-same,pyramid,180,10,True,24,425,118,118,0,2.216094256597284,14.801493017736053,27.25007279658326,13.56630550686572,5.869994581862723,13.566181305635261,0.08146614440945221,1,1,0.06571177367493274,0.07094398788852405,0.17025640365308084,2.59095736017287,True,True,1.2419681945120474e-14,5.7892169498323935e-15,1.0987878172137003e-14,True,0.07967377036950707,0.32651322683833955,True,A-C|A-F|B-D|C-B|C-E|D-A
pentagon,2X3,360,10,True,0,1539,229,229,0,1.898935403829124,13.61138249480097,24.51578374911941,13.152496977022786,2.7258247993058533,13.151693240023612,0.024389152646342893,1,1,0.06542919606853378,0.06371250219510456,0.15727186627468143,2.4036955323422755,True,True,1.3287228128402681e-14,7.387989940971075e-15,1.1043913978672852e-14,True,0.09433330160393776,0.3503071239504709,True,A-E|B-B|C-D|D-C|E-A|E-F
hexagon,2X3,720,10,True,104,1648,487,487,0,1.5652060182220906,13.675080431514147,23.9331345426218,13.404908873942201,2.121757320318717,13.404817164620852,0.012107161208633421,1,1,0.06536255322539547,0.048028188123330796,0.15764790999017772,2.411899508370588,True,True,8.513318722283364e-15,7.377764055609925e-15,4.247963418737342e-15,True,0.10298084941165159,0.36945378526400835,True,A-F|B-A|C-E|D-B|E-D|F-C
rhombus-ext,pentagon,78,10,True,0,277,58,58,0,1.8929790399644897,14.058260394318378,23.611540822587497,13.869773913719794,1.602961123747553,13.869757174396723,0.010995356844848203,1,1,0.0649071822151371,0.03414112964798133,0.1567946364092901,2.4156746766419293,True,True,4.636427468134552e-15,1.9860273225978185e-15,4.189529226675416e-15,True,0.1658594657538295,0.44672992321618066,True,A-B|A-D|B-E|C-A|D-C|D-E
central-parallelepiped,horizzontal-parallelepiped,360,10,True,76,914,214,214,0,1.6573798358375431,13.857573586856182,23.756080815296304,13.546153414125964,2.3988730288445987,13.546093215003818,0.011344949286501205,1,1,0.06476597839471598,0.048127612044988326,0.15583899733278242,2.4061861056590903,True,True,7.337557957613285e-15,4.070144838902081e-15,6.105217258353122e-15,True,0.07227372566323872,0.41981971932396717,True,A-E|B-A|C-B|C-D|D-F|E-C
central-trapezoid,rectangle-opposite,78,10,True,12,327,45,45,0,1.5756288248073085,13.630054224449907,23.357233606940977,13.334244986601052,2.266537495275857,13.334231111440713,0.011715019576453045,1,1,0.06424747168762591,0.0411069064204188,0.15421497910648999,2.4003275935322423,True,True,4.494625342079252e-15,1.3262548089295896e-15,4.294497077359836e-15,True,0.10193973891104174,0.4652866157331114,True,A-B|B-D|C-A|D-A|D-C|E-D
horizzontal-parallelepiped,vertical-parallelepiped,720,10,True,172,1819,441,441,0,1.6328538727280748,13.680323313196336,23.993566939367604,13.414947768670224,2.16382516893803,13.414896796466017,0.010787257691145413,1,1,0.06399645951482462,0.049521212065440426,0.15309799273315214,2.4076011988869257,True,True,4.665085433445971e-15,2.955806200079789e-15,3.609187139636799e-15,True,0.05194102651214602,0.47538038908183505,True,A-B|B-D|C-E|D-F|E-C|F-A
pentagon,rectangle-opposite,78,10,True,0,422,43,43,0,2.422552821277256,13.578637779218138,23.776550679197353,13.03234800437437,2.7370865840977903,13.032172815560301,0.023326974242553256,1,1,0.06392720836103234,0.07062468574056147,0.15276159524177546,2.3896178037221043,True,True,9.633004276676976e-15,8.84720673550713e-15,3.81073541113447e-15,True,0.10588941308070975,0.3886873512957292,True,A-A|B-D|C-A|D-C|E-B|E-D
