pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
2X3,two-triangles,720,10,True,72,2845,426,426,0,1.6886248550591318,13.646181620030529,24.012408255195282,13.480840563380243,1.5911108607932216,13.480840563380243,1.4210854715202004e-14,1,1,0.056598901449469406,0.04684333168576995,0.13535303036537144,2.391442711767338,True,True,6.4047456679787536e-15,3.972054645195637e-15,5.0242958677880805e-15,True,0.05943624352311705,0.3918321979520063,True,A-B|B-F|C-C|D-E|E-A|F-D
arrow,two-triangles,360,10,True,16,1438,239,239,0,1.5887118170651504,13.707762875691756,24.253779121742912,13.60856087251975,1.4211383455607949,13.60856087251975,1.4210854715202004e-14,4,1,0.05657566115812038,0.027564196593424583,0.1365061273926549,2.4128065779229875,True,True,6.017853515590484e-15,4.6920213811455016e-15,3.76822190084106e-15,True,0.11492117670505225,0.492171460355549,True,A-A|B-F|C-C|C-D|D-B|E-E
two-triangles,pentagon,360,10,True,0,1278,249,249,0,1.5732729737767062,14.017511025088645,24.01193705992372,13.817482917795566,1.5557765431536565,13.817482917795566,1.4210854715202004e-14,2,1,0.0565107600161539,0.038433156015156275,0.13608694641451088,2.4081599039830595,True,True,1.0295681891751251e-14,9.158214942176398e-15,4.704058321176682e-15,True,0.08394112376850497,0.3581303928054846,True,A-A|B-C|C-E|D-E|E-D|F-B
parallelepiped-ext,rhombus-ext,34,10,True,10,30,22,22,0,9.040127032679964,13.978157638479015,22.682837205250877,13.932776796305184,1.2171848217641423,13.932776796305184,1.687538997430238e-14,1,1,0.05640549391696458,0.01814041036079214,0.1376062033178708,2.5029448348516263,True,True,9.566981569029147e-15,8.963461738696472e-15,3.3441725435551023e-15,True,0.24845726571145174,0.432603075572651,True,A-A|A-D|B-B|C-A|D-C|D-D
hexagon,two-triangles,720,10,True,76,2465,445,445,0,1.5689443894256585,13.90635638475666,23.958269002290383,13.749463916742458,1.3251636892067853,13.749463916742458,1.2434497875801753e-14,3,1,0.055890867149137484,0.02732253368397967,0.13503906387857817,2.4161203925901535,True,True,8.065179992641965e-15,7.381104677948019e-15,3.2506033358264633e-15,True,0.13658945791577065,0.4472121987926965,True,A-A|B-F|C-B|D-E|E-C|F-D
rhombus-int,base-trapezoid,78,10,True,12,424,30,30,0,1.9015652215501064,14.77955821874599,21.86269518008448,14.698633576529936,1.5858352355884815,14.698633576529936,1.5987211554602254e-14,1,1,0.055541157618386995,0.023346221863097122,0.1343429645143547,2.418800224464177,True,True,9.413767483707313e-15,5.84701768229371e-15,7.377764055609925e-15,True,0.21524043613620883,0.4993505740910072,True,A-E|B-A|B-C|C-B|C-D|D-B
3X2,base-trapezoid,360,10,True,48,1124,240,240,0,1.8936611056199504,14.694248093687836,22.021446001907698,14.625642005296262,1.2865440910816786,14.625642005296262,1.4210854715202004e-14,1,1,0.05538985830762248,0.02227064556118411,0.1329823508943596,2.400842951354133,True,True,8.101585801848735e-15,5.5688503603976495e-15,5.88418203051333e-15,True,0.06173225164065423,0.47538038908183505,True,A-B|B-D|C-B|D-E|E-A|F-C
rectangle-opposite,hexagon,180,10,True,24,608,99,99,0,1.7900300877644042,13.690938295840684,23.379319674351468,13.483926416379411,1.8247655145955726,13.48342653262497,1.5987211554602254e-14,1,1,0.05518838587162415,0.05432310776832799,0.1323888574904122,2.39885358847724,True,True,6.977177723159058e-15,6.234050729344335e-15,3.1333082332430004e-15,True,0.08188232597417444,0.39300248433366436,True,A-C|A-E|B-B|C-F|D-A|D-D
two-triangles,arrow,360,10,True,16,1561,251,251,0,1.6576486739064016,13.918438848970835,24.097927335433965,13.766193120071145,1.2736598902811758,13.766193120071145,1.4210854715202004e-14,1,1,0.05512053993787103,0.029375808088323952,0.13301989113616156,2.413254501608558,True,True,7.340077290891853e-15,6.4220428370640774e-15,3.554447978966673e-15,True,0.05449769045323954,0.3914966099903299,True,A-C|B-B|C-D|D-E|E-A|F-C
rhombus-int,hexagon,180,10,True,28,680,105,105,0,1.7028228641484786,13.95259923068793,23.709854444144344,13.867752196102188,1.1309050805901366,13.867752196102188,1.4210854715202004e-14,1,1,0.05508685135607782,0.021232283923666925,0.1333544022715413,2.420802768514525,True,True,8.4355034728974e-15,6.811378861017111e-15,4.976227170553342e-15,True,0.06708926685656628,0.45673777918439046,True,A-D|B-B|B-F|C-A|C-C|D-E
